,Year,Source,Topic_ID,Most_freq_words
0,2014,Medium,0,"['die', 'sorry', 'response', 'food', 'habit', 'space', 'quality', 'ensure', 'mindful', 'threat']"
1,2014,Medium,1,"['black', 'appointment', 'office', 'doctor', 'pair', 'shoot', 'visit', 'season', 'prefer', 'forever']"
2,2014,Medium,2,"['medication', 'symptom', 'health', 'drug', 'treatment', 'pain', 'gut', 'doctor', 'medicine', 'effect']"
3,2014,Medium,3,"['stuff', 'death', 'content', 'post', 'money', 'shit', 'ocd', 'father', 'feed', 'art']"
4,2014,Medium,4,"['meditation', 'practice', 'emotion', 'tool', 'meditate', 'emotional', 'horse', 'technique', 'list', 'habit']"
5,2014,Medium,5,"['social', 'child', 'parent', 'generation', 'millennial', 'party', 'instagram', 'parenting', 'event', 'interaction']"
6,2014,Medium,6,"['job', 'business', 'pay', 'boss', 'interview', 'client', 'career', 'workplace', 'plan', 'professional']"
7,2014,Medium,7,"['light', 'eat', 'room', 'listen', 'water', 'watch', 'sound', 'bed', 'rest', 'pick']"
8,2014,Medium,8,"['wait', 'illusion', 'odd', 'fat', 'silence', 'silent', 'depress', 'weigh', 'comfort', 'crush']"
9,2014,Medium,9,"['mother', 'daughter', 'weight', 'mom', 'cry', 'kid', 'eye', 'reach', 'baby', 'fight']"
10,2014,Medium,10,"['voice', 'finally', 'wrong', 'story', 'yet', 'partner', 'touch', 'answer', 'imagine', 'conversation']"
11,2014,Medium,11,"['yoga', 'christmas', 'gift', 'routine', 'game', 'coach', 'meaningful', 'blanket', 'item', 'darkest']"
12,2014,Medium,12,"['energy', 'guilt', 'apologize', 'introvert', 'opinion', 'tired', 'guilty', 'pursue', 'promote', 'wrong']"
13,2014,Medium,13,"['therapy', 'mood', 'cancer', 'effective', 'vitamin', 'patient', 'light', 'function', 'direct', 'regulate']"
14,2014,Medium,14,"['dog', 'afraid', 'fight', 'pain', 'sad', 'tree', 'battle', 'cry', 'normal', 'monster']"
15,2014,Medium,15,"['kid', 'holiday', 'birthday', 'drink', 'wear', 'old', 'pull', 'party', 'mountain', 'december']"
16,2014,Medium,16,"['memory', 'path', 'freedom', 'process', 'free', 'law', 'awareness', 'explore', 'journey', 'war']"
17,2014,Medium,17,"['woman', 'school', 'teacher', 'relationship', 'man', 'parent', 'culture', 'teach', 'prayer', 'blog']"
18,2014,Medium,18,"['goal', 'decision', 'journal', 'product', 'activity', 'distraction', 'page', 'negative', 'writing', 'personal']"
19,2014,Medium,19,"['mental_health', 'relationship', 'support', 'result', 'challenge', 'individual', 'provide', 'example', 'low', 'healthy']"
20,2014,Medium,20,"['breath', 'breathe', 'breathing', 'awesome', 'brand', 'calm', 'grateful', 'discomfort', 'allow', 'deep']"
21,2014,Medium,21,"['disorder', 'trigger', 'panic_attack', 'panic', 'therapy', 'symptom', 'attack', 'suffer', 'therapist', 'common']"
22,2014,Medium,22,"['app', 'film', 'message', 'tone', 'technology', 'device', 'datum', 'design', 'digital', 'access']"
23,2014,Medium,23,"['social_media', 'online', 'phone', 'post', 'facebook', 'video', 'photo', 'like', 'scroll', 'picture']"
24,2014,Medium,24,"['god', 'pray', 'survey', 'cultivate', 'youth', 'lovely', 'modern', 'tap', 'uncontrollable', 'rely']"
25,2014,Medium,25,"['drown', 'clarity', 'era', 'pool', 'water', 'sea', 'burden', 'ocean', 'deadline', 'meet']"
