,Year,Source,Topic_ID,Most_freq_words
0,2014,Medium,0,"['modern', 'option', 'stone', 'counselor', 'counseling', 'heal', 'blind', 'healing', 'mirror', 'severe']"
1,2014,Medium,1,"['phone', 'walk', 'check', 'ocd', 'boyfriend', 'laugh', 'neck', 'mountain', 'smell', 'grab']"
2,2014,Medium,2,"['grateful', 'gratitude', 'laugh', 'music', 'relax', 'listen', 'ear', 'box', 'choose', 'relaxation']"
3,2014,Medium,3,"['god', 'movie', 'church', 'fly', 'bird', 'forgive', 'syndrome', 'sky', 'dad', 'special']"
4,2014,Medium,4,"['book', 'question', 'post', 'answer', 'probably', 'least', 'full', 'list', 'free', 'pretty']"
5,2014,Medium,5,"['kid', 'school', 'mom', 'college', 'boy', 'parent', 'dad', 'car', 'wife', 'son']"
6,2014,Medium,6,"['courage', 'pray', 'strength', 'gift', 'strong', 'faith', 'growth', 'spirit', 'failure', 'weakness']"
7,2014,Medium,7,"['silence', 'empty', 'silent', 'crowd', 'stupid', 'dance', 'update', 'differently', 'switch', 'air']"
8,2014,Medium,8,"['therapy', 'therapist', 'partner', 'issue', 'episode', 'chronic', 'psychiatrist', 'admit', 'date', 'relationship']"
9,2014,Medium,9,"['light', 'demon', 'bright', 'eye', 'past', 'future', 'reflect', 'tear', 'sentence', 'roll']"
10,2014,Medium,10,"['health', 'increase', 'high', 'affect', 'impact', 'american', 'improve', 'issue', 'accord', 'level']"
11,2014,Medium,11,"['realize', 'grow', 'real', 'dream', 'almost', 'yet', 'voice', 'imagine', 'soon', 'hit']"
12,2014,Medium,12,"['human', 'accept', 'process', 'happiness', 'action', 'allow', 'space', 'choice', 'truth', 'deep']"
13,2014,Medium,13,"['mental', 'mental_health', 'mental_illness', 'recovery', 'alcohol', 'illness', 'stigma', 'management', 'issue', 'health']"
14,2014,Medium,14,"['meditation', 'practice', 'app', 'meditate', 'calm', 'minute', 'creativity', 'daily', 'peace', 'routine']"
15,2014,Medium,15,"['man', 'woman', 'brave', 'land', 'sell', 'john', 'restaurant', 'pill', 'double', 'magic']"
16,2014,Medium,16,"['doctor', 'medication', 'hospital', 'sick', 'pill', 'ill', 'apartment', 'dose', 'prescription', 'wake']"
17,2014,Medium,17,"['instagram', 'headache', 'non', 'sugar', 'country', 'bottle', 'class', 'gut', 'tap', 'trick']"
18,2014,Medium,18,"['song', 'public', 'event', 'performance', 'stage', 'critical', 'practice', 'memory', 'perform', 'purpose']"
19,2014,Medium,19,"['negative', 'positive', 'present', 'mindfulness', 'pattern', 'future', 'skill', 'example', 'outcome', 'build']"
20,2014,Medium,20,"['symptom', 'social', 'disorder', 'treatment', 'diagnose', 'patient', 'physical', 'medical', 'condition', 'therapy']"
21,2014,Medium,21,"['goal', 'business', 'plan', 'money', 'energy', 'success', 'achieve', 'guilt', 'fail', 'failure']"
22,2014,Medium,22,"['game', 'play', 'addiction', 'mistake', 'ultimately', 'tendency', 'object', 'pressure', 'grade', 'successful']"
23,2014,Medium,23,"['habit', 'relationship', 'food', 'drive', 'avoid', 'meal', 'actual', 'listen', 'video', 'loneliness']"
24,2014,Medium,24,"['conversation', 'communication', 'twitter', 'drink', 'funny', 'seat', 'fairly', 'joke', 'channel', 'nerve']"
25,2014,Medium,25,"['panic_attack', 'breath', 'yoga', 'breathe', 'breathing', 'slow', 'attack', 'calm', 'muscle', 'panic']"
26,2014,Medium,26,"['reduce', 'effect', 'behavior', 'belief', 'originally_publishe', 'result', 'provide', 'natural', 'effective', 'include']"
27,2014,Medium,27,"['emotion', 'pain', 'emotional', 'suffer', 'hurt', 'soul', 'heal', 'physical', 'relationship', 'push']"
28,2014,Medium,28,"['child', 'parent', 'social_media', 'young', 'teen', 'adult', 'school', 'age', 'technology', 'resource']"
29,2014,Medium,29,"['mental_health', 'support', 'society', 'suicide', 'community', 'die', 'suffer', 'death', 'peer', 'speak']"
30,2014,Medium,30,"['leg', 'belong', 'float', 'birth', 'useless', 'shake', 'teen', 'sad', 'sentence', 'return']"
31,2014,Medium,31,"['panic', 'travel', 'speak', 'social', 'group', 'approach', 'trip', 'stranger', 'team', 'plane']"
32,2014,Medium,32,"['confidence', 'afraid', 'student', 'trigger', 'aware', 'scenario', 'recognize', 'overcome', 'avoid', 'action']"
33,2014,Medium,33,"['study', 'hormone', 'test', 'research', 'university', 'level', 'dr', 'sex', 'researcher', 'establish']"
34,2014,Medium,34,"['return', 'city', 'holiday', 'cup', 'walk', 'wait', 'coffee', 'order', 'table', 'watch']"
35,2014,Medium,35,"['door', 'house', 'dog', 'room', 'safe', 'hand', 'climb', 'calm', 'credit', 'clean']"
36,2014,Medium,36,"['job', 'company', 'career', 'car', 'month', 'pay', 'language', 'buy', 'hopefully', 'degree']"
37,2014,Medium,37,"['response', 'system', 'fight', 'release', 'event', 'training', 'threat', 'program', 'boss', 'respond']"
38,2014,Medium,38,"['solution', 'drug', 'diagnosis', 'user', 'state', 'address', 'treat', 'human', 'system', 'significant']"
39,2014,Medium,39,"['overthinke', 'tackle', 'roll', 'sad', 'sentence', 'shake', 'reply', 'tooth', 'text', 'ready']"
40,2014,Medium,40,"['cry', 'smile', 'hurt', 'eye', 'sad', 'mother', 'finally', 'fine', 'room', 'pain']"
41,2014,Medium,41,"['fuck', 'bed', 'lie', 'tired', 'nose', 'bubble', 'eye', 'clock', 'freeze', 'tv']"
42,2014,Medium,42,"['eat', 'water', 'drink', 'diet', 'bar', 'cook', 'poor', 'heat', 'flood', 'consume']"
43,2014,Medium,43,"['disorder', 'trauma', 'ptsd', 'symptom', 'panic_attack', 'phobia', 'excessive', 'traumatic', 'reaction', 'attack']"
