,Year,Source,Topic_ID,Most_freq_words
0,2014,Medium,0,"['art', 'creative', 'story', 'company', 'artist', 'career', 'coach', 'culture', 'speak', 'review']"
1,2014,Medium,1,"['question', 'emotion', 'thinking', 'truth', 'crisis', 'pattern', 'idea', 'behavior', 'external', 'uncertainty']"
2,2014,Medium,2,"['book', 'american', 'existence', 'fat', 'author', 'diet', 'low', 'confront', 'percent', 'like']"
3,2014,Medium,3,"['future', 'step', 'question', 'decision', 'job', 'accept', 'set', 'list', 'process', 'plan']"
4,2014,Medium,4,"['morning', 'darkness', 'light', 'dark', 'glass', 'bed', 'wake', 'dance', 'useless', 'awake']"
5,2014,Medium,5,"['mindfulness', 'app', 'rich', 'project', 'email', 'technology', 'inspire', 'communicate', 'platform', 'podcast']"
6,2014,Medium,6,"['job', 'drink', 'phone', 'pay', 'normal', 'money', 'car', 'business', 'month', 'horrible']"
7,2014,Medium,7,"['break', 'realize', 'probably', 'story', 'house', 'decide', 'wrong', 'bit', 'hate', 'open']"
8,2014,Medium,8,"['recovery', 'recover', 'magic', 'knee', 'red', 'scar', 'land', 'noise', 'third', 'hole']"
9,2014,Medium,9,"['energy', 'fight', 'emotion', 'state', 'awareness', 'negative', 'news', 'thinking', 'positive', 'choose']"
10,2014,Medium,10,"['shit', 'fuck', 'game', 'tired', 'watch', 'fucking', 'tomorrow', 'extra', 'video', 'episode']"
11,2014,Medium,11,"['travel', 'god', 'train', 'faith', 'bag', 'yesterday', 'wife', 'mountain', 'city', 'pack']"
12,2014,Medium,12,"['post', 'social_media', 'facebook', 'twitter', 'society', 'photo', 'picture', 'confidence', 'online', 'win']"
13,2014,Medium,13,"['hair', 'girl', 'man', 'air', 'film', 'cut', 'suicide', 'tear', 'dry', 'nail']"
14,2014,Medium,14,"['music', 'listen', 'song', 'click', 'article', 'internet', 'event', 'dr', 'stage', 'product']"
15,2014,Medium,15,"['child', 'woman', 'school', 'parent', 'kid', 'young', 'mother', 'student', 'class', 'mom']"
16,2014,Medium,16,"['meditation', 'practice', 'meditate', 'present', 'combine', 'morning', 'mental', 'habit', 'creativity', 'clarity']"
17,2014,Medium,17,"['walk', 'breathe', 'breath', 'eye', 'attack', 'hand', 'die', 'door', 'hold', 'panic']"
18,2014,Medium,18,"['holiday', 'gift', 'compassion', 'season', 'memory', 'trauma', 'heal', 'chaos', 'healing', 'rage']"
19,2014,Medium,19,"['eat', 'food', 'com', 'ok', 'healthy', 'unhealthy', 'mental', 'final', 'city', 'consume']"
20,2014,Medium,20,"['social', 'level', 'high', 'exercise', 'effect', 'increase', 'reduce', 'result', 'system', 'study']"
21,2014,Medium,21,"['dog', 'water', 'master', 'shoe', 'warm', 'animal', 'color', 'black', 'cat', 'object']"
22,2014,Medium,22,"['pain', 'emotion', 'depressed', 'happy', 'sad', 'relationship', 'sadness', 'happiness', 'joy', 'deep']"
23,2014,Medium,23,"['mental_health', 'health', 'medication', 'issue', 'support', 'mental_illness', 'illness', 'drug', 'mental', 'seek']"
24,2014,Medium,24,"['disorder', 'therapy', 'symptom', 'panic_attack', 'therapist', 'treatment', 'ocd', 'panic', 'condition', 'suffer']"
25,2014,Medium,25,"['doctor', 'office', 'hospital', 'husband', 'boss', 'meeting', 'test', 'nurse', 'deadline', 'machine']"
