topic_id,combined_top_words,accumulated_probability,doc_count,probability_per_doc,source,year
0,card gonzalez credit number secret industry steal european member indictment ,5.222787827253342,8,0.6528484784066677,NYT,2008
1,user liechtenstein open video com tax osd model home personal ,7.088213445618749,11,0.6443830405107953,NYT,2008
2,google privacy user ad facebook law consumer search viacom executive ,10.606008529663086,15,0.7070672353108723,NYT,2008
3,software attack program computer researcher mail microsoft message account user ,18.606734169647098,25,0.744269366785884,NYT,2008
4,write fraud ford credit mail lifelock alert amy file percent ,6.303886041045189,9,0.7004317823383543,NYT,2008
5,myspace m case megan drew charge federal judge account draw ,7.0914221331477165,10,0.7091422133147717,NYT,2008
6,flaw liechtenstein bank german kaminsky fix software problem patch prince ,2.4751167856156826,6,0.41251946426928043,NYT,2008
7,game government league attack report ayatollah live child major cyber ,6.202339600771666,9,0.6891488445301851,NYT,2008
8,griffith device implant museum agency employee university card researcher look ,6.729299586266279,9,0.7476999540295866,NYT,2008
9,army al qaeda iraq study official ebay com report password ,9.415802866220474,13,0.7242925281708057,NYT,2008
