topic_id,combined_top_words,accumulated_probability,doc_count,probability_per_doc,source,year
0,government card researcher attack al qaeda number report software member ,16.558873020112514,20,0.8279436510056257,NYT,2008
1,privacy facebook user ad consumer mail griffith advertising law personal ,12.16152616403997,15,0.8107684109359979,NYT,2008
2,card credit liechtenstein official number fraud gonzalez government german steal ,11.838803261518478,17,0.6964001918540281,NYT,2008
3,google game write video case law privacy child user myspace ,19.82746832445264,25,0.7930987329781055,NYT,2008
4,user software attack program microsoft report computer problem army researcher ,19.385044656693935,25,0.7754017862677575,NYT,2008
