source1_label,NYT_2008_Topic0_card,NYT_2008_Topic1_user,NYT_2008_Topic2_google,NYT_2008_Topic3_software,NYT_2008_Topic4_write,NYT_2008_Topic5_myspace,NYT_2008_Topic6_flaw,NYT_2008_Topic7_game,NYT_2008_Topic8_griffith,NYT_2008_Topic9_army,NYT_2008_Topic0_program,NYT_2008_Topic1_attack,NYT_2008_Topic2_city,NYT_2008_Topic3_ad,NYT_2008_Topic4_card,NYT_2008_Topic5_child,NYT_2008_Topic6_mail,NYT_2008_Topic7_osd,NYT_2008_Topic8_google,NYT_2008_Topic9_griffith,NYT_2008_Topic10_al,NYT_2008_Topic11_government,NYT_2008_Topic12_mail,NYT_2008_Topic13_army,NYT_2008_Topic14_liechtenstein,NYT_2008_Topic0_government,NYT_2008_Topic1_privacy,NYT_2008_Topic2_card,NYT_2008_Topic3_google,NYT_2008_Topic4_user
Academic_2008_Topic2_attack,0.0,0.03955427644388665,0.0,0.14954803669627212,0.0,0.0,0.0,0.09337928671002976,0.06102089377489433,0.0,0.06484916922729762,0.09337928671002976,0.0,0.0,0.07191800264156778,0.0,0.0,0.1535884809044716,0.0,0.0,0.08576848377558681,0.0,0.14495103662433872,0.0,0.0,0.08906171677163047,0.0,0.0,0.0,0.15742883444361294
Academic_2008_Topic5_kernel,0.0,0.09006335598336315,0.11979293088795206,0.16196537468273411,0.0,0.027391241528110285,0.050564090100309766,0.0,0.0,0.0,0.2776312246727659,0.12235772600794571,0.0,0.08678456205192953,0.031146666629920595,0.025907141295492035,0.05839942482479587,0.030603150443277653,0.11979293088795206,0.0,0.11469685004303677,0.0860925302276049,0.15848037398881215,0.0,0.0,0.030801180613312377,0.11938092267093348,0.0,0.12480124218070829,0.1437841764659937
Academic_2008_Topic14_attack,0.02961976838259504,0.22489301944652446,0.12342421341960906,0.22591434587223497,0.0,0.028221552099394823,0.0,0.13369379482232602,0.06370588614030323,0.0,0.11345970570102853,0.18558689211092352,0.0,0.11811574733782003,0.06697133842638264,0.026692464343639873,0.060169686305612716,0.061811686275273246,0.12342421341960906,0.0,0.20340404668865159,0.08870225267787257,0.16336248081559407,0.0,0.0,0.08850296358033159,0.12299971599951087,0.0,0.1285843416282357,0.21029324149993156
Academic_2008_Topic3_attack,0.0,0.1325826039772862,0.12387552199413229,0.25705010068863166,0.0,0.028324746019744225,0.03061928866911176,0.09313275125906888,0.031860957315672414,0.040838428870403606,0.14291699033185323,0.18626550251813775,0.0,0.08974221471607839,0.07172812822896381,0.059515359421254244,0.060389700633464063,0.0625597371697769,0.12387552199413229,0.0,0.2041478066675078,0.08902659816976526,0.16445249610654633,0.04268861607362176,0.0,0.08882658035882163,0.12344947237191552,0.0,0.1290545185434327,0.2429691193316096
Academic_2008_Topic11_user,0.03189672852986882,0.19288882121105097,0.09257406747176511,0.14312099416874613,0.0,0.029331931017762432,0.0,0.0,0.0,0.0,0.11109621489473093,0.09644441060552549,0.0,0.09293331172672617,0.06307011900234341,0.0,0.028425288180000275,0.032771406027989364,0.09257406747176511,0.0,0.08858378723702084,0.09219224894166202,0.14008764125044945,0.0,0.0,0.0,0.09225567408912988,0.0,0.09644441060552549,0.12205387197471024
Academic_2008_Topic3_policy,0.0,0.13278384331033294,0.070087953118075,0.08129668486320092,0.0,0.0,0.0,0.0,0.0,0.0,0.07789760434473114,0.0,0.027814985879189708,0.058000328585607025,0.08638877231256753,0.1113739116628636,0.03279671177251376,0.0,0.070087953118075,0.0,0.032919433482202824,0.0,0.0,0.0,0.0,0.0,0.06984689705254078,0.0,0.0730181951990184,0.08558081152303398
Academic_2008_Topic6_device,0.0,0.1356621503829956,0.19197393999411586,0.11585279290734399,0.0,0.06218063976254618,0.0,0.0,0.12614855955227774,0.0,0.08400808129544739,0.09999999999999998,0.0,0.127980036211355,0.0,0.05368367872921791,0.12117378648539517,0.12595108232722754,0.2241709090538027,0.0,0.091849581205223,0.09559107506887508,0.26191202643123296,0.0,0.03200859431489435,0.0,0.1913136769874031,0.0,0.19999999999999996,0.09229397787306513
Academic_2008_Topic9_protocol,0.0,0.13738756564137158,0.035519987797105614,0.08411530612173325,0.0,0.03235975025503165,0.0,0.09594121840779168,0.0,0.04206993319447256,0.0,0.09594121840779168,0.0,0.0,0.0,0.02759793563334974,0.033933800070364006,0.0,0.035519987797105614,0.0,0.12218238395088733,0.0,0.0,0.043975913766929546,0.03260550710740346,0.09150519265684333,0.03539782260144397,0.0,0.07120274748125113,0.08854796688843636
Academic_2008_Topic4_security,0.0,0.0906904710453183,0.15011314383120505,0.13458229767951121,0.0,0.027581967933321103,0.0,0.0,0.02823837445568795,0.0,0.10446813866036335,0.0906904710453183,0.0,0.11606569768404679,0.03136354222332983,0.07477351749390998,0.058806062557947986,0.08969859668768994,0.15011314383120505,0.0,0.11549548919472556,0.08669199625724665,0.187300866509073,0.0,0.0,0.0,0.14959685419472554,0.0,0.12567023865399862,0.11477205441760743
Academic_2008_Topic7_attack,0.0,0.04319973587989806,0.03702265656678478,0.17534758786199026,0.0,0.0,0.024692546074180265,0.09999999999999998,0.0,0.0,0.08400808129544739,0.14066983461380003,0.02999686081011988,0.0,0.09316531706586355,0.028765462948413447,0.035369365360913674,0.0,0.03702265656678478,0.0,0.12735129486427754,0.0,0.0,0.0,0.0,0.09537630871843492,0.036895323187358234,0.0,0.03857050240039825,0.18458795574613027
