,Year,Source,Topic_ID,Most_freq_words
0,2012,Medium,0,"['still', 'keep', 'thank', 'work', 'medication', 'talk', 'way', 'control', 'open', 'thing']"
1,2012,Medium,1,"['spend', 'go', 'much', 'word', 'plot', 'write', 'count', 'point', 'passage', 'part']"
2,2012,Medium,2,"['baseball', 'game', 'twin', 'non', 'post', 'thank', 'fan', 'also', 'positive', 'good']"
3,2012,Medium,3,"['emotion', 'give', 'year', 'down', 'lithium', 'willing', 'up', 'point', 'good', 'stress']"
4,2012,Medium,4,"['work', 'way', 'faith', 'keep', 'control', 'action', 'thing', 'focus', 'much', 'unexpected']"
5,2012,Medium,5,"['baseball', 'twin', 'non', 'game', 'thank', 'post', 'positive', 'hear', 'important', 'maybe']"
6,2012,Medium,6,"['thank', 'still', 'mental', 'medication', 'help', 'talk', 'thing', 'keep', 'player', 'problem']"
7,2012,Medium,7,"['deal', 'work', 'thing', 'control', 'keep', 'faith', 'way', 'action', 'much', 'today']"
8,2012,Medium,8,"['keep', 'work', 'way', 'control', 'faith', 'thing', 'action', 'much', 'point', 'post']"
9,2012,Medium,9,"['work', 'keep', 'faith', 'way', 'thing', 'control', 'action', 'much', 'today', 'unexpected']"
10,2012,Medium,10,"['experience', 'depression', 'inspiration', 'write', 'post', 'loss', 'way', 'work', 'break', 'story']"
11,2012,Medium,11,"['click', 'attack', 'symptom', 'physical', 'aqui', 'ansiedad', 'emotional', 'control', 'controlar', 'nervousness']"
12,2012,Medium,12,"['go', 'work', 'keep', 'much', 'write', 'point', 'word', 'passage', 'spend', 'way']"
13,2012,Medium,13,"['story', 'stuff', 'skip', 'sorry', 'speculation', 'split', 'stay', 'staypositive', 'stick', 'section']"
14,2012,Medium,14,"['symptom', 'click', 'physical', 'control', 'attack', 'emotional', 'aqui', 'ansiedad', 'controlar', 'thought']"
15,2012,Medium,15,"['work', 'faith', 'way', 'control', 'keep', 'action', 'much', 'post', 'thing', 'today']"
16,2012,Medium,16,"['story', 'stuff', 'skip', 'sorry', 'speculation', 'split', 'stay', 'staypositive', 'stick', 'section']"
17,2012,Medium,17,"['click', 'attack', 'emotional', 'control', 'aqui', 'physical', 'symptom', 'ansiedad', 'controlar', 'panic']"
18,2012,Medium,18,"['story', 'stuff', 'skip', 'sorry', 'speculation', 'split', 'stay', 'staypositive', 'stick', 'section']"
19,2012,Medium,19,"['amy', 'ask', 'anxietyask', 'depression', 'write', 'experience', 'blog', 'today', 'day', 'go']"
20,2012,Medium,20,"['depression', 'experience', 'blog', 'write', 'today', 'suffer', 'go', 'black', 'day', 'spend']"
21,2012,Medium,21,"['story', 'stuff', 'skip', 'sorry', 'speculation', 'split', 'stay', 'staypositive', 'stick', 'section']"
22,2012,Medium,22,"['story', 'stuff', 'skip', 'sorry', 'speculation', 'split', 'stay', 'staypositive', 'stick', 'section']"
23,2012,Medium,23,"['depression', 'experience', 'click', 'attack', 'control', 'physical', 'symptom', 'emotional', 'even', 'help']"
24,2012,Medium,24,"['live', 'story', 'inspiration', 'loss', 'devastating', 'give', 'fear', 'com', 'post', 'back']"
25,2012,Medium,25,"['click', 'emotional', 'symptom', 'physical', 'attack', 'ansiedad', 'control', 'aqui', 'controlar', 'nervousness']"
26,2012,Medium,26,"['story', 'stuff', 'skip', 'sorry', 'speculation', 'split', 'stay', 'staypositive', 'stick', 'section']"
27,2012,Medium,27,"['depression', 'experience', 'write', 'blog', 'today', 'go', 'black', 'year', 'suffer', 'day']"
28,2012,Medium,28,"['work', 'faith', 'way', 'keep', 'thing', 'control', 'action', 'much', 'today', 'open']"
29,2012,Medium,29,"['story', 'stuff', 'skip', 'sorry', 'speculation', 'split', 'stay', 'staypositive', 'stick', 'section']"
30,2012,Medium,30,"['baseball', 'twin', 'point', 'go', 'new', 'positive', 'game', 'thank', 'part', 'non']"
31,2012,Medium,31,"['loss', 'inspiration', 'live', 'stop', 'story', 'apart', 'break', 'give', 'write', 'fear']"
32,2012,Medium,32,"['story', 'stuff', 'skip', 'sorry', 'speculation', 'split', 'stay', 'staypositive', 'stick', 'section']"
33,2012,Medium,33,"['depression', 'baseball', 'write', 'go', 'experience', 'today', 'post', 'blog', 'stand', 'say']"
34,2012,Medium,34,"['click', 'attack', 'symptom', 'physical', 'emotional', 'control', 'controlar', 'ansiedad', 'aqui', 'thought']"
35,2012,Medium,35,"['call', 'lose', 'close', 'live', 'probably', 'announce', 'phone', 'person', 'body', 'die']"
36,2012,Medium,36,"['emotion', 'year', 'lithium', 'give', 'good', 'point', 'really', 'land', 'flat', 'stress']"
37,2012,Medium,37,"['baseball', 'twin', 'game', 'post', 'non', 'thank', 'tell', 'try', 'age', 'fan']"
38,2012,Medium,38,"['story', 'stuff', 'skip', 'sorry', 'speculation', 'split', 'stay', 'staypositive', 'stick', 'section']"
39,2012,Medium,39,"['work', 'way', 'faith', 'thing', 'keep', 'much', 'unexpected', 'control', 'today', 'positive']"
40,2012,Medium,40,"['depression', 'write', 'experience', 'day', 'go', 'blog', 'today', 'black', 'help', 'spend']"
41,2012,Medium,41,"['click', 'symptom', 'attack', 'physical', 'control', 'emotional', 'aqui', 'ansiedad', 'controlar', 'thought']"
