,Year,Source,Topic_ID,Most_freq_words
0,2013,Medium,0,"['depression', 'still', 'help', 'medication', 'today', 'post', 'way', 'open', 'thank', 'keep']"
1,2013,Medium,1,"['depression', 'go', 'write', 'spend', 'much', 'word', 'plot', 'day', 'today', 'experience']"
2,2013,Medium,2,"['click', 'person', 'attack', 'also', 'lose', 'die', 'symptom', 'control', 'call', 'body']"
3,2013,Medium,3,"['emotion', 'lithium', 'year', 'point', 'give', 'good', 'really', 'stress', 'flat', 'up']"
4,2013,Medium,4,"['work', 'faith', 'keep', 'way', 'thing', 'control', 'action', 'much', 'today', 'unexpected']"
5,2013,Medium,5,"['click', 'baseball', 'attack', 'symptom', 'control', 'physical', 'emotional', 'twin', 'also', 'body']"
6,2013,Medium,6,"['thank', 'help', 'mental', 'talk', 'medication', 'still', 'thing', 'keep', 'player', 'anxiously']"
7,2013,Medium,7,"['story', 'inspiration', 'live', 'loss', 'post', 'try', 'experience', 'stop', 'mind', 'back']"
