,Year,Source,Topic_ID,Most_freq_words
0,2016,Medium,0,"['happy', 'happiness', 'partner', 'relationship', 'self', 'connection', 'positive', 'goal', 'emotion', 'journey']"
1,2016,Medium,1,"['photo', 'center', 'site', 'vacation', 'mantra', 'oppose', 'button', 'bubble', 'accurate', 'gasp']"
2,2016,Medium,2,"['failure', 'feed', 'fail', 'regret', 'success', 'vote', 'mirror', 'expectation', 'identity', 'passionate']"
3,2016,Medium,3,"['episode', 'cognitive', 'nurse', 'climb', 'comparison', 'dialogue', 'mr', 'fundamental', 'chase', 'core']"
4,2016,Medium,4,"['country', 'american', 'dose', 'analysis', 'sensitive', 'tea', 'disaster', 'accord', 'commonly', 'eliminate']"
5,2016,Medium,5,"['game', 'gift', 'inevitable', 'participate', 'excited', 'lord', 'excitement', 'insist', 'prefer', 'going']"
6,2016,Medium,6,"['child', 'parent', 'family', 'kid', 'hospital', 'doctor', 'year', 'adult', 'daughter', 'young']"
7,2016,Medium,7,"['mind', 'thought', 'moment', 'live', 'control', 'let', 'give', 'come', 'feeling', 'stop']"
8,2016,Medium,8,"['anxious', 'nervous', 'cell', 'uncomfortable', 'ok', 'nerve', 'sound', 'overnight', 'correct', 'surrounding']"
9,2016,Medium,9,"['dream', 'date', 'girl', 'meet', 'pm', 'cute', 'boyfriend', 'represent', 'hero', 'romantic']"
10,2016,Medium,10,"['fear', 'social', 'situation', 'afraid', 'overcome', 'avoid', 'face', 'event', 'threat', 'cause']"
11,2016,Medium,11,"['fuck', 'coffee', 'succeed', 'caffeine', 'library', 'straight', 'concentrate', 'prove', 'going', 'encouragement']"
12,2016,Medium,12,"['person', 'conversation', 'public', 'community', 'confidence', 'personal', 'touch', 'compassion', 'confident', 'respond']"
13,2016,Medium,13,"['school', 'class', 'college', 'year', 'teacher', 'grade', 'semester', 'begin', 'parent', 'assignment']"
14,2016,Medium,14,"['disorder', 'treatment', 'symptom', 'medication', 'drug', 'treat', 'condition', 'patient', 'therapy', 'medical']"
15,2016,Medium,15,"['panic_attack', 'panic', 'die', 'era', 'normal', 'tremble', 'heart', 'happen', 'fast', 'real']"
16,2016,Medium,16,"['company', 'business', 'team', 'coach', 'performance', 'audience', 'sale', 'client', 'speech', 'customer']"
17,2016,Medium,17,"['man', 'woman', 'black', 'white', 'color', 'blue', 'mountain', 'coworker', 'green', 'cook']"
18,2016,Medium,18,"['highly', 'insist', 'adhd', 'assistance', 'charge', 'chase', 'core', 'encouragement', 'going', 'growth']"
19,2016,Medium,19,"['bully', 'reader', 'med', 'folk', 'cooking', 'sunday', 'weekend', 'taste', 'sometime', 'friday']"
20,2016,Medium,20,"['help', 'depression', 'mental_health', 'talk', 'struggle', 'issue', 'understand', 'suffer', 'feeling', 'many']"
